estadio;tempo;planta;hibrid_tolerancia;n_pulverizacoes;n_pulverizacoes_caracter;n_cigarrinha
V3-V4;7;15;alta;0;a_0;0
V3-V4;7;16;alta;0;a_0;0
V3-V4;7;17;alta;0;a_0;0
V3-V4;7;18;alta;0;a_0;0
V3-V4;7;19;alta;0;a_0;0
V3-V4;7;20;alta;0;a_0;0
V3-V4;7;21;alta;0;a_0;0
V3-V4;7;22;alta;0;a_0;0
V3-V4;7;23;alta;0;a_0;0
V3-V4;7;24;alta;0;a_0;0
V3-V4;7;25;alta;0;a_0;1
V3-V4;7;26;alta;0;a_0;0
V3-V4;7;27;alta;0;a_0;0
V3-V4;7;28;alta;0;a_0;0
V3-V4;7;29;alta;0;a_0;0
V3-V4;7;30;alta;0;a_0;0
V3-V4;7;31;alta;0;a_0;0
V3-V4;7;32;alta;0;a_0;0
V3-V4;7;33;alta;0;a_0;0
V3-V4;7;34;alta;0;a_0;0
V3-V4;7;35;alta;0;a_0;0
V3-V4;7;36;alta;0;a_0;0
V3-V4;7;37;alta;0;a_0;0
V3-V4;7;38;alta;0;a_0;0
V3-V4;7;39;alta;0;a_0;0
V3-V4;7;40;alta;0;a_0;0
V4;14;1;alta;0;a_0;0
V4;14;2;alta;0;a_0;0
V4;14;3;alta;0;a_0;0
V4;14;4;alta;0;a_0;1
V4;14;5;alta;0;a_0;2
V4;14;6;alta;0;a_0;0
V4;14;7;alta;0;a_0;0
V4;14;8;alta;0;a_0;0
V4;14;9;alta;0;a_0;0
V4;14;10;alta;0;a_0;1
V4;14;11;alta;0;a_0;1
V4;14;12;alta;0;a_0;1
V4;14;13;alta;0;a_0;0
V4;14;14;alta;0;a_0;0
V4;14;15;alta;0;a_0;1
V4;14;16;alta;0;a_0;0
V4;14;17;alta;0;a_0;0
V4;14;18;alta;0;a_0;0
V4;14;19;alta;0;a_0;0
V4;14;20;alta;0;a_0;0
V4;14;21;alta;0;a_0;2
V4;14;22;alta;0;a_0;1
V4;14;23;alta;0;a_0;1
V4;14;24;alta;0;a_0;1
V4;14;25;alta;0;a_0;1
V4;14;26;alta;0;a_0;0
V4;14;27;alta;0;a_0;0
V4;14;28;alta;0;a_0;0
V4;14;29;alta;0;a_0;1
V4;14;30;alta;0;a_0;0
V4;14;31;alta;0;a_0;0
V4;14;32;alta;0;a_0;1
